05.09.2017	21:19:07	0
05.09.2017	21:19:18	0
05.09.2017	21:21:57	0
05.09.2017	21:22:15	0
05.09.2017	21:22:25	0
05.09.2017	21:22:35	0
05.09.2017	21:22:45	0
05.09.2017	21:22:55	0
05.09.2017	21:23:05	0
05.09.2017	21:23:16	0
05.09.2017	21:25:08	0
05.09.2017	21:25:18	0
05.09.2017	21:25:28	0
05.09.2017	21:25:38	0
05.09.2017	21:25:48	0
05.09.2017	21:25:59	0
05.09.2017	21:26:09	0
05.09.2017	21:26:19	0
05.09.2017	21:26:29	0
05.09.2017	21:26:39	0
05.09.2017	21:26:49	0
05.09.2017	21:26:59	0
05.09.2017	21:27:09	0
05.09.2017	21:27:19	0
05.09.2017	21:27:29	0
05.09.2017	21:27:40	0
05.09.2017	21:27:50	0
05.09.2017	21:28:00	0
05.09.2017	21:28:10	0
05.09.2017	21:38:04	0
05.09.2017	21:38:14	0
05.09.2017	21:38:24	0
05.09.2017	21:38:35	0
05.09.2017	21:38:45	0
05.09.2017	21:40:31	0
05.09.2017	21:40:41	0
05.09.2017	21:40:51	0
05.09.2017	21:41:02	0
05.09.2017	21:41:12	0
05.09.2017	21:41:22	0
05.09.2017	21:41:32	0
05.09.2017	21:41:42	0
05.09.2017	21:42:23	0
5.9.2017	21:54:28	0
5.9.2017	21:54:38	0
5.9.2017	21:54:49	0
5.9.2017	21:54:59	0
5.9.2017	21:55:9	0
5.9.2017	21:55:19	0
5.9.2017	21:55:29	0
5.9.2017	21:55:39	0
5.9.2017	21:55:49	0
5.9.2017	21:55:59	0
5.9.2017	21:56:9	0
5.9.2017	21:56:19	0
5.9.2017	21:56:29	0
5.9.2017	21:56:40	0
5.9.2017	21:57:0	0
5.9.2017	21:57:10	0
5.9.2017	21:57:20	0
5.9.2017	21:57:30	0
5.9.2017	21:57:40	0
5.9.2017	21:57:50	0
5.9.2017	21:58:0	0
5.9.2017	21:58:10	0
5.9.2017	21:58:20	0
5.9.2017	21:58:31	0
5.9.2017	21:58:41	0
5.9.2017	21:59:1	0
5.9.2017	21:59:11	0
5.9.2017	21:59:21	0
5.9.2017	21:59:31	0
5.9.2017	21:59:41	0
5.9.2017	21:59:51	0
5.9.2017	22:0:1	0
5.9.2017	22:0:32	0
5.9.2017	22:0:42	0
5.9.2017	22:0:52	0
5.9.2017	22:1:2	0
5.9.2017	22:1:12	0
5.9.2017	22:1:44	0
5.9.2017	22:1:54	0
5.9.2017	22:2:4	0
