10.9.2017	20:40:37	0	5535
10.9.2017	20:41:38	0	7569
10.9.2017	20:42:38	0	7000
10.9.2017	20:43:39	0	7008
10.9.2017	20:44:39	0	7002
10.9.2017	20:45:40	0	7001
10.9.2017	20:46:40	0	7001
10.9.2017	20:47:41	0	7008
10.9.2017	20:48:41	0	7002
10.9.2017	20:49:42	1	7000
10.9.2017	20:50:42	2	7007
10.9.2017	20:51:43	0	7003
10.9.2017	20:52:43	0	7004
10.9.2017	20:53:44	0	7001
10.9.2017	20:54:44	1	7010
10.9.2017	20:55:45	1	7011
10.9.2017	20:56:45	1	7001
10.9.2017	20:57:46	4	7000
10.9.2017	20:58:46	0	7567
10.9.2017	20:59:47	2	7007
10.9.2017	21:0:47	0	7002
10.9.2017	21:1:47	0	6999
10.9.2017	21:2:48	0	7008
10.9.2017	21:3:48	0	7002
10.9.2017	21:4:49	20	7000
10.9.2017	21:5:49	0	7009
10.9.2017	21:6:50	0	7002
10.9.2017	21:7:50	0	7002
10.9.2017	21:8:51	0	7002
10.9.2017	21:9:51	0	7006
10.9.2017	21:10:52	0	7001
10.9.2017	21:11:52	1	7000
10.9.2017	21:12:53	3	7000
10.9.2017	21:13:53	6	7007
10.9.2017	21:14:54	5	7000
10.9.2017	21:15:54	7	7002
10.9.2017	21:16:55	52	7000
10.9.2017	21:17:55	26	7009
10.9.2017	21:18:56	22	7000
10.9.2017	21:19:56	55	7007
10.9.2017	21:20:57	57	7007
10.9.2017	21:21:57	24	7001
10.9.2017	21:22:58	22	7000
10.9.2017	21:23:58	26	7000
10.9.2017	21:24:59	22	7007
10.9.2017	21:25:59	32	7003
10.9.2017	21:27:0	21	7002
10.9.2017	21:28:0	63	6999
10.9.2017	21:29:1	29	7569
10.9.2017	21:30:1	30	7000
10.9.2017	21:31:2	67	7002
10.9.2017	21:32:2	73	7000
10.9.2017	21:33:3	52	7010
10.9.2017	21:34:3	19	7002
10.9.2017	21:36:40	46	5535
10.9.2017	21:38:27	8	5535
10.9.2017	21:39:27	7	7001
10.9.2017	21:40:28	49	7016
10.9.2017	21:41:28	21	7000
10.9.2017	21:42:29	38	7001
10.9.2017	21:43:29	16	7001
10.9.2017	21:44:30	18	7006
10.9.2017	21:45:30	9	7002
10.9.2017	21:46:31	6	7001
10.9.2017	21:47:31	10	7001
10.9.2017	21:48:32	7	7007
10.9.2017	21:49:32	14	7000
10.9.2017	21:50:33	5	7001
10.9.2017	21:51:33	2	7008
10.9.2017	21:52:34	1	7002
10.9.2017	21:57:5	1	5535	0.45
10.9.2017	21:58:5	1	13755	0.18
10.9.2017	21:59:6	0	13172	0.00
10.9.2017	22:0:6	5	12920	0.97
10.9.2017	22:1:7	13	12727	2.55
10.9.2017	22:2:7	20	13141	3.80
10.9.2017	22:4:7	7	5535	3.16
10.9.2017	22:5:8	13	12882	2.52
10.9.2017	22:6:8	6	13162	1.14
10.9.2017	22:7:9	1	12928	0.19
10.9.2017	22:8:9	3	12660	0.59
10.9.2017	22:9:41	1	5535	0.45
10.9.2017	22:10:42	2	11814	0.42
10.9.2017	22:13:4	4	5535	1.81
10.9.2017	22:15:8	1	-5535	0.45
10.9.2017	22:16:8	13	-12711	2.56
10.9.2017	22:18:28	1	-5535	-0.45
10.9.2017	22:19:28	6	-10532	-1.42
10.9.2017	22:22:8	20	-5535	-9.03
10.9.2017	22:23:8	5	-11642	-1.07
10.9.2017	22:25:26	16	60001	0.67
10.9.2017	22:26:26	5	52896	0.24
10.9.2017	22:27:27	4	52466	0.19
10.9.2017	22:28:27	1	52664	0.05
10.9.2017	22:29:27	0	52069	0.00
10.9.2017	22:30:28	1	52216	0.05
10.9.2017	22:31:28	10	52339	0.48
10.9.2017	22:32:29	4	52871	0.19
10.9.2017	22:33:29	56	52298	2.68
10.9.2017	22:34:30	2	52464	0.10
10.9.2017	22:35:30	7	52417	0.33
10.9.2017	22:36:31	0	52572	0.00
10.9.2017	22:37:31	0	53557	0.00
10.9.2017	22:38:32	0	52834	0.00
10.9.2017	22:39:32	0	52050	0.00
10.9.2017	22:40:33	0	53394	0.00
10.9.2017	22:41:33	0	52393	0.00
10.9.2017	22:42:34	0	52455	0.00
10.9.2017	22:43:34	0	51937	0.00
10.9.2017	22:44:35	0	54604	0.00
10.9.2017	22:45:35	0	52489	0.00
10.9.2017	22:46:36	0	54150	0.00
10.9.2017	22:47:36	0	52647	0.00
10.9.2017	22:48:37	0	52459	0.00
10.9.2017	22:49:37	0	52706	0.00
10.9.2017	22:50:38	0	52718	0.00
10.9.2017	22:51:38	0	52394	0.00
10.9.2017	22:52:39	0	52703	0.00
10.9.2017	22:53:39	0	52878	0.00
10.9.2017	22:54:40	0	52821	0.00
10.9.2017	22:55:40	0	52378	0.00
10.9.2017	22:56:41	0	52529	0.00
10.9.2017	22:57:41	0	52882	0.00
10.9.2017	22:58:42	0	52653	0.00
10.9.2017	22:59:42	1	51835	0.05
10.9.2017	23:0:43	0	52359	0.00
10.9.2017	23:1:43	1	52508	0.05
10.9.2017	23:2:44	1	52777	0.05
10.9.2017	23:3:44	1	52405	0.05
10.9.2017	23:4:45	0	52381	0.00
10.9.2017	23:5:45	0	52716	0.00
10.9.2017	23:6:46	3	52507	0.14
10.9.2017	23:7:46	1	52670	0.05
10.9.2017	23:8:47	1	52564	0.05
10.9.2017	23:9:47	3	52623	0.14
10.9.2017	23:10:48	3	52442	0.14
10.9.2017	23:11:48	6	52583	0.29
10.9.2017	
10.2017	16:8:37	0	299934	0.00


13:49	3	52012	0.14
10.9.2017	23:19:53	11	300001	0.09
10.9.2017	23:24:56	19	294432	0.16
10.9.2017	23:29:58	7	292664	0.06
10.9.2017	23:35:1	10	292333	0.09
10.9.2017	23:40:3	6	292851	0.05
10.9.2017	23:45:6	0	292554	0.00
10.9.2017	23:50:8	13	291294	0.11
10.9.2017	23:55:11	15	292268	0.13
11.9.2017	0:0:13	7	292331	0.06
11.9.2017	0:5:15	1	292272	0.01
11.9.2017	0:10:18	5	292664	0.04
11.9.2017	0:15:20	6	292603	0.05
11.9.2017	0:20:23	8	292355	0.07
11.9.2017	0:25:25	3	292305	0.03
11.9.2017	0:30:28	1	292698	0.01
11.9.2017	0:35:30	4	291462	0.03
11.9.2017	0:40:32	0	292302	0.00
11.9.2017	0:45:35	0	292253	0.00
11.9.2017	0:50:37	0	294339	0.00
11.9.2017	0:55:40	0	292769	0.00
11.9.2017	1:0:42	0	292449	0.00
11.9.2017	1:5:45	0	292487	0.00
11.9.2017	1:10:47	0	294387	0.00
11.9.2017	1:15:49	0	292713	0.00
11.9.2017	1:20:52	0	292745	0.00
11.9.2017	1:25:54	1	293206	0.01
11.9.2017	1:30:57	0	293654	0.00
11.9.2017	1:35:59	0	292322	0.00
11.9.2017	1:41:2	1	292876	0.01
11.9.2017	1:46:4	0	293388	0.00
11.9.2017	1:51:6	0	293685	0.00
11.9.2017	1:56:9	0	292391	0.00
11.9.2017	2:1:11	8	292294	0.07
11.9.2017	2:6:14	1	292761	0.01
11.9.2017	2:11:16	0	292617	0.00
11.9.2017	2:16:19	0	292421	0.00
11.9.2017	2:21:21	0	292410	0.00
11.9.2017	2:26:23	0	292325	0.00
11.9.2017	2:31:26	0	292289	0.00
11.9.2017	2:36:28	0	292823	0.00
11.9.2017	2:41:31	1	292464	0.01
11.9.2017	2:46:33	0	292591	0.00
11.9.2017	2:51:35	0	292370	0.00
11.9.2017	2:56:38	0	292234	0.00
11.9.2017	3:1:40	0	292799	0.00
11.9.2017	3:6:43	0	292733	0.00
11.9.2017	3:11:45	1	292247	0.01
11.9.2017	3:16:48	3	292348	0.03
11.9.2017	3:21:50	8	293567	0.07
11.9.2017	3:26:52	3	292708	0.03
11.9.2017	3:31:55	0	292553	0.00
11.9.2017	3:36:57	0	292531	0.00
11.9.2017	3:42:0	2	293623	0.02
11.9.2017	3:47:2	1	292343	0.01
11.9.2017	3:52:5	5	292817	0.04
11.9.2017	3:57:7	1	292674	0.01
11.9.2017	4:2:10	1	292216	0.01
11.9.2017	4:7:12	0	292364	0.00
11.9.2017	4:12:14	6	292859	0.05
11.9.2017	4:17:17	31	292692	0.26
11.9.2017	4:22:19	6	294573	0.05
11.9.2017	4:27:22	6	292276	0.05
11.9.2017	4:32:24	6	292711	0.05
11.9.2017	4:37:27	0	292517	0.00
11.9.2017	4:42:29	0	294409	0.00
11.9.2017	4:47:31	0	294262	0.00
11.9.2017	4:52:34	1	291387	0.01
11.9.2017	4:57:36	4	292540	0.03
11.9.2017	5:2:39	4	292503	0.03
11.9.2017	5:7:41	0	292798	0.00
11.9.2017	5:12:44	0	292619	0.00
11.9.2017	5:17:46	0	292464	0.00
11.9.2017	5:22:48	0	292332	0.00
11.9.2017	5:27:51	0	292854	0.00
11.9.2017	5:32:53	0	292688	0.00
11.9.2017	5:37:56	0	292625	0.00
11.9.2017	5:42:58	0	292580	0.00
11.9.2017	5:48:1	0	290773	0.00
